Place,Date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Thiruvananthapuram,14/1/15,31.5,22.6,26.7,35.6,22.6,27.8,20,67.8,0,0,0,,0,0,29.5,13,290.1,1011.5,41.5,5,269.4,23.2,9,,2015-01-14 6:40:53,2015-01-14 18:21:19,0.8,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,15/1/15,32.1,24.1,27.8,38,24.1,29.7,21.6,69.5,0.1,100,4.17,rain,0,0,31.3,11.2,220.7,1011.1,36.9,5.2,265.1,22.8,9,,2015-01-15 6:41:07,2015-01-15 18:21:48,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,16/1/15,32.1,23.1,27.7,38,23.1,30,22.1,72.5,0,0,0,,0,0,28.1,11.9,211.3,1011.5,30.3,4.8,270.1,23.3,9,,2015-01-16 6:41:21,2015-01-16 18:22:17,0.86,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,17/1/15,32.1,23.1,27.4,38,23.1,29.3,22.3,74.8,0,0,0,,0,0,26.3,9.4,175.8,1011.8,28.3,4.8,212.6,18.4,7,,2015-01-17 6:41:34,2015-01-17 18:22:45,0.89,Partially cloudy,Becoming cloudy in the afternoon.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,18/1/15,32.1,24.4,27.8,39.3,24.4,30.2,23,76,0,0,0,,0,0,27,13,239,1012,23.7,5.2,266,22.8,9,,2015-01-18 6:41:46,2015-01-18 18:23:13,0.93,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,19/1/15,32.1,24.1,27.6,37.9,24.1,29.6,22.3,74.2,0,0,0,,0,0,32.8,12.2,240.2,1011.8,29.5,5.4,269.3,23.3,9,,2015-01-19 6:41:57,2015-01-19 18:23:40,0.96,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,20/1/15,31.9,23.8,27.7,36.7,23.8,29.6,22.2,72.8,0,0,0,,0,0,24.8,9,164.9,1013,19.7,4.5,261.1,22.5,9,,2015-01-20 6:42:07,2015-01-20 18:24:07,0,Clear,Clear conditions throughout the day.,☀️,"43371099999,remote,43372099999"
Thiruvananthapuram,21/1/15,32.1,23.1,27.5,39.3,23.1,30,22.9,76.7,1.513,100,4.17,rain,0,0,27.7,9.4,224.4,1014.1,28.2,4.6,264.2,22.8,9,,2015-01-21 6:42:16,2015-01-21 18:24:33,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,22/1/15,31.1,23.8,27.5,36.7,23.8,29.6,22.7,76.2,0,0,0,,0,0,31,9.4,223.4,1014.5,20.1,4.8,268.4,23.1,9,,2015-01-22 6:42:24,2015-01-22 18:24:58,0.06,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,23/1/15,32.1,22.9,27.4,38,22.9,29.4,22.2,74.7,0,0,0,,0,0,30.2,10.8,227.2,1012.2,28.4,5.1,235.5,20.3,8,,2015-01-23 6:42:31,2015-01-23 18:25:23,0.09,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,24/1/15,32.1,23.5,27.9,38,23.5,30.3,22.7,74.4,0,0,0,,0,0,31,9.4,201.5,1011.8,27.9,5.1,234.2,20.1,8,,2015-01-24 6:42:37,2015-01-24 18:25:48,0.13,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,25/1/15,31.3,24.2,27.6,39.3,24.2,30.3,23.1,77,0,0,0,,0,0,34.6,11.9,205.5,1012.7,42.5,4.9,228.5,19.7,8,,2015-01-25 6:42:42,2015-01-25 18:26:12,0.16,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,26/1/15,32.1,23.9,27.9,36.9,23.9,29.9,22.1,71.8,0,0,0,,0,0,23.4,11.2,237.5,1011.9,19.4,5.7,273.8,23.8,9,,2015-01-26 6:42:46,2015-01-26 18:26:35,0.2,Clear,Clear conditions throughout the day.,☀️,"43371099999,remote,43372099999"
Thiruvananthapuram,27/1/15,32.1,23.8,27.6,36.9,23.8,29.2,21.3,69.3,0,0,0,,0,0,29.2,9.4,163.5,1010.9,30.3,5.4,268.1,23.1,9,,2015-01-27 6:42:49,2015-01-27 18:26:58,0.25,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,28/1/15,32.1,23.7,27.9,39.3,23.7,30.6,22.7,74,0,0,0,,0,0,32,11.2,194.2,1009.7,28.8,5.2,231.2,20,8,,2015-01-28 6:42:51,2015-01-28 18:27:20,0.27,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,29/1/15,32.5,24.3,28,40.8,24.3,30.5,23.3,76.3,0.3,100,8.33,rain,0,0,35.3,11.2,191.8,1010.7,43.8,5.1,239.7,20.8,8,,2015-01-29 6:42:52,2015-01-29 18:27:42,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,30/1/15,32.1,24.4,27.7,39.3,24.4,30.1,23.1,77,0.1,100,4.17,rain,0,0,20.5,9.7,175.6,1012.1,62.2,5.6,226.1,19.6,7,,2015-01-30 6:42:52,2015-01-30 18:28:03,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,31/1/15,33,24.5,28.6,38,24.5,30.7,22.1,69.3,0,0,0,,0,0,28.8,11.2,219.4,1011.6,41,5.4,243.4,20.9,8,,2015-01-31 6:42:51,2015-01-31 18:28:23,0.37,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,01/2/15,32.8,24.3,28,39.3,24.3,30,22,71.2,0,0,0,,0,0,28.8,12.6,211.5,1012,21.7,5.5,275.9,23.6,10,,2015-02-01 6:42:50,2015-02-01 18:28:42,0.41,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,02/2/15,33,23.4,28.2,35.9,23.4,29.7,21.3,68,0,0,0,,0,0,26.6,11.5,202,1012,33.5,4.9,277.5,24,9,,2015-02-02 6:42:47,2015-02-02 18:29:01,0.44,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,03/2/15,33.3,24.3,28.6,36.2,24.3,30,20,61,0,0,0,,0,0,26.3,14.8,258.4,1013.1,30.3,5.9,266.9,23.1,9,,2015-02-03 6:42:43,2015-02-03 18:29:20,0.48,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,04/2/15,33.6,25.9,29,36.2,25.9,30.8,20.9,62.9,0,0,0,,0,0,28.8,13,311.5,1012.7,67.9,5.1,212.8,18.3,7,,2015-02-04 6:42:38,2015-02-04 18:29:37,0.5,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,05/2/15,34,26.1,28.9,38.2,26.1,31.3,21.9,66.5,0,0,0,,0,0,20.2,13,208.1,1011.6,70.2,5.2,214.1,18.5,7,,2015-02-05 6:42:32,2015-02-05 18:29:54,0.54,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,06/2/15,33.1,25.1,29,40.8,25.1,32.2,22.5,68.7,0,0,0,,0,0,31.7,13,219.3,1011.8,55.6,5,265.8,22.9,9,,2015-02-06 6:42:25,2015-02-06 18:30:10,0.58,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,07/2/15,32.5,25.3,28.5,39.3,25.3,31.3,23.1,73.8,0,0,0,,0,0,36.7,12.2,202.9,1012,36.1,5.6,255.8,22.1,9,,2015-02-07 6:42:18,2015-02-07 18:30:26,0.61,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,08/2/15,33.1,24.8,28.2,39.4,24.8,30.4,22.1,70.4,0,0,0,,0,0,36.7,15.5,236,1011.4,32.8,5.2,271.2,23.4,9,,2015-02-08 6:42:09,2015-02-08 18:30:41,0.64,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,09/2/15,32.1,24.1,28.1,38,24.1,30,21.9,70.8,0,0,0,,0,0,34.6,10.8,136.7,1011.1,35.6,5.5,276,23.8,10,,2015-02-09 6:41:59,2015-02-09 18:30:55,0.68,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,10/2/15,33.1,26.1,28.9,40.8,26.1,32.6,23.2,71.8,0,0,0,,0,0,20.2,8.3,216,1011.6,78.5,5,182.1,15.8,8,,2015-02-10 6:41:49,2015-02-10 18:31:08,0.71,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,11/2/15,33.1,25.3,28.6,42.3,25.3,31.7,23.4,74.5,0,0,0,,0,0,33.8,14,229.2,1011,27.8,5.2,257.9,22.3,9,,2015-02-11 6:41:37,2015-02-11 18:31:21,0.74,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,12/2/15,32.3,25.1,28.7,39.3,25.1,32.2,23.8,75.2,0,0,0,,0,0,31,11.2,167.7,1010.5,39.1,5.3,233.4,19.9,8,,2015-02-12 6:41:25,2015-02-12 18:31:34,0.75,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,13/2/15,33.1,25.3,28.8,40.7,25.3,32.6,24,76,0.6,100,4.17,rain,0,0,30.6,14.8,234.5,1011.3,43.3,5.2,250.4,21.6,9,,2015-02-13 6:41:12,2015-02-13 18:31:45,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,14/2/15,32.1,24.6,28.5,40.8,24.6,32.1,23.9,76.9,0,0,0,,0,0,36,14.8,205.6,1010.5,36.8,4.8,257.7,22.5,9,,2015-02-14 6:40:58,2015-02-14 18:31:56,0.84,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,15/2/15,32.9,24.7,28.6,39.3,24.7,31.7,23.3,74.1,0,0,0,,0,0,35.6,11.2,217,1010.3,33.5,5.3,279,24.1,10,,2015-02-15 6:40:43,2015-02-15 18:32:06,0.88,Partially cloudy,Partly cloudy throughout the day.,⛅,##########
Thiruvananthapuram,16/2/15,32.1,23.8,28.2,36.9,23.8,30.3,22.1,70.9,0,0,0,,0,0,35.3,11.2,216.7,1011.5,34.9,5.1,297.3,25.7,10,,2015-02-16 6:40:27,2015-02-16 18:32:16,0.91,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,17/2/15,32.1,23.1,27.5,38,23.1,29,21.2,70.1,0,0,0,,0,0,38.2,9.4,169.7,1012.1,42.6,5.3,282.8,24.5,10,,2015-02-17 6:40:10,2015-02-17 18:32:25,0.94,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,18/2/15,32.1,22.8,27.3,35.9,22.8,28.8,20.8,68.4,0,0,0,,0,0,34.6,13.4,138,1011.4,40.8,5,258.2,22.1,9,,2015-02-18 6:39:53,2015-02-18 18:32:33,0.98,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,19/2/15,32.4,22.4,27.3,36.7,22.4,29.2,21.6,71.5,0.9,100,8.33,rain,0,0,38.2,13,202.7,1010.9,37.7,4.9,294.3,25.5,10,,2015-02-19 6:39:35,2015-02-19 18:32:41,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,20/2/15,32.1,22.9,27.4,38,22.9,29.1,21.3,70,0,0,0,,0,0,32.4,10.8,225.5,1010.4,25.4,5.4,301.5,26,10,,2015-02-20 6:39:16,2015-02-20 18:32:48,0.04,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,21/2/15,32.7,23.3,28,35,23.3,29.4,20.7,66.6,0,0,0,,0,0,28.8,11.2,183.7,1010.3,23.2,5.7,300.7,26,10,,2015-02-21 6:38:56,2015-02-21 18:32:55,0.08,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,22/2/15,33.1,23,28,35.9,23,28.9,19.5,61.8,0,0,0,,0,0,33.8,13.9,242.9,1010.6,32.3,5.4,303.3,26.1,10,,2015-02-22 6:38:36,2015-02-22 18:33:01,0.11,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,23/2/15,33.1,23.1,27.9,38.2,23.1,29.5,20.5,65.5,0,0,0,,0,0,34.2,15.1,203.5,1011.4,31.3,5,304.2,26.3,10,,2015-02-23 6:38:15,2015-02-23 18:33:06,0.14,Partially cloudy,Becoming cloudy in the afternoon.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,24/2/15,33.1,24.5,28.8,39.4,24.5,30.8,21.3,65.3,0.1,100,4.17,rain,0,0,32,11.2,224.4,1010.3,33.3,5.5,253.6,22,9,,2015-02-24 6:37:53,2015-02-24 18:33:11,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,25/2/15,33.1,24.3,28.6,38.2,24.3,31.4,22.5,70.5,0,0,0,,0,0,30.2,11.2,194.9,1009.6,33.3,5.5,257.6,22.4,9,,2015-02-25 6:37:30,2015-02-25 18:33:15,0.25,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,26/2/15,32.7,25.1,28.2,39.3,25.1,31.1,23.5,76.3,0.1,100,4.17,rain,0,0,29.5,9.4,215.8,1009.1,36.6,4.9,251.4,21.8,9,,2015-02-26 6:37:07,2015-02-26 18:33:19,0.25,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,27/2/15,32.9,25.5,28.6,39.5,25.5,32,23.7,75.4,0,0,0,,0,0,33.8,11.2,214,1009.4,54.4,5.2,237.3,20.7,9,,2015-02-27 6:36:43,2015-02-27 18:33:23,0.28,Partially cloudy,Partly cloudy throughout the day.,⛅,##########
Thiruvananthapuram,28/2/15,34.1,24.8,27.9,43.7,24.8,30.4,23.2,76.6,3.123,100,8.33,rain,0,0,28.8,14.8,150,1010,43.4,5,244.6,21.2,9,,2015-02-28 6:36:19,2015-02-28 18:33:25,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,01/3/15,33.1,23.8,28.6,40.7,23.8,32,23.2,73.5,0,0,0,,0,0,36.4,9.4,138.4,1009.7,40.5,5.3,276.7,24,10,,2015-03-01 6:35:54,2015-03-01 18:33:28,0.35,Partially cloudy,Partly cloudy throughout the day.,⛅,##########
Thiruvananthapuram,02/3/15,33.1,25.2,28.9,42.3,25.2,33.2,24.2,76.5,0.1,100,4.17,rain,0,0,32.4,11.9,270.4,1011.3,50.9,5.8,274.8,23.8,10,,2015-03-02 6:35:29,2015-03-02 18:33:30,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,03/3/15,32.4,25.9,28.5,40.8,25.9,32.3,24.1,77.7,2.4,100,4.17,rain,0,0,29.9,10.8,274.4,1010.9,64,4.8,222.8,19.3,8,,2015-03-03 6:35:03,2015-03-03 18:33:31,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,04/3/15,33.7,24.6,27.9,42.3,24.6,30.8,23.8,78.9,0.6,100,16.67,rain,0,0,29.2,12.2,311.5,1010.9,65.9,5.3,243.6,21,9,,2015-03-04 6:34:36,2015-03-04 18:33:32,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,05/3/15,33.1,24.1,28.4,39.6,24.1,31.5,23.7,76.8,0,0,0,,0,0,29.5,5.8,165.9,1010.5,49.4,5.1,276.5,24,10,,2015-03-05 6:34:09,2015-03-05 18:33:33,0.5,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,06/3/15,33.4,25.7,28.9,40.7,25.7,32.6,24,75.8,0,0,0,,0,0,29.9,8,231.8,1011.8,44.7,4.9,251.4,21.8,9,,2015-03-06 6:33:41,2015-03-06 18:33:33,0.52,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,07/3/15,34.1,24.9,28.9,43.7,24.9,32.5,24.2,77,0.303,100,4.17,rain,0,0,33.8,9.4,173.9,1011.8,45.4,5.4,278,24.1,10,,2015-03-07 6:33:13,2015-03-07 18:33:33,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,08/3/15,33.5,25.3,29,40.7,25.3,32.6,23.8,74.5,0.5,100,8.33,rain,0,0,35.6,7.6,236.8,1012,37.7,5.5,278.4,24,10,,2015-03-08 6:32:45,2015-03-08 18:33:32,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,09/3/15,33.1,25,28.8,39.4,25,31.9,23.5,74,0,0,0,,0,0,30.6,9.8,229.9,1012.9,41.5,5.3,259.3,22.3,9,,2015-03-09 6:32:16,2015-03-09 18:33:31,0.62,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,10/3/15,32.1,24.1,28.4,39.3,24.1,31.5,23.4,75.1,0,0,0,,0,0,37.1,7.6,195,1012.6,41.3,4.9,298.1,25.6,10,,2015-03-10 6:31:47,2015-03-10 18:33:30,0.65,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,11/3/15,33.1,24.6,28.3,39.3,24.6,31.6,23.5,75.6,0,0,0,,0,0,35.6,15.5,214.4,1011.6,30.5,5.1,305.9,26.3,10,,2015-03-11 6:31:17,2015-03-11 18:33:29,0.69,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,12/3/15,33.1,25.1,28.5,39.4,25.1,31,23.2,74.4,0,0,0,,0,0,34.6,12.6,221.5,1011.4,31.5,5.1,299,26,10,,2015-03-12 6:30:47,2015-03-12 18:33:27,0.72,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,13/3/15,33.5,26.1,29.3,39.4,26.1,32.7,23.2,70.6,0,0,0,,0,0,35.6,7.6,209.3,1011.3,37.5,5.3,259.5,22.3,9,,2015-03-13 6:30:17,2015-03-13 18:33:25,0.75,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,14/3/15,32.8,24.7,27.4,39.3,24.7,29.2,23.6,80.9,15.129,100,8.33,rain,0,0,32.8,13,207.1,1012.6,69.7,4.3,217.1,18.6,8,,2015-03-14 6:29:47,2015-03-14 18:33:23,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,15/3/15,33.2,24.1,27.5,39.3,24.1,30.3,23.9,81.4,3.026,100,4.17,rain,0,0,24.5,9.4,178,1012.6,72.9,4.6,232.9,20.1,9,,2015-03-15 6:29:16,2015-03-15 18:33:20,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,16/3/15,33.1,24.6,28.1,39.4,24.6,31,23.9,79,3,100,4.17,rain,0,0,28.4,10.7,199.9,1012.3,54.8,4.9,234.7,20.2,9,,2015-03-16 6:28:45,2015-03-16 18:33:17,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,17/3/15,32.7,25,28.4,39.3,25,31.7,24.1,78.5,2.269,100,4.17,rain,0,0,29.2,11.2,226.4,1011.6,41.1,5.1,269.1,23.2,9,,2015-03-17 6:28:13,2015-03-17 18:33:14,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,18/3/15,32.7,24.5,28.8,39.6,24.5,32.2,23.8,75.5,0.3,100,4.17,rain,0,0,31.3,14.8,215.6,1010.8,53.1,5.2,297.8,25.8,10,,2015-03-18 6:27:42,2015-03-18 18:33:11,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,19/3/15,32.7,25.1,28.4,39.3,25.1,31.4,23.6,76.3,0.1,100,4.17,rain,0,0,32.4,9.4,197,1010.7,32.7,5.7,303.5,26.1,10,,2015-03-19 6:27:10,2015-03-19 18:33:08,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,20/3/15,33.1,24.1,28.5,39.4,24.1,31,23,73.7,0,0,0,,0,0,31.3,11.2,178.9,1011.4,29.4,5.4,310.9,26.7,10,,2015-03-20 6:26:38,2015-03-20 18:33:04,0,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,21/3/15,33.8,25,28.7,40.7,25,31.7,23.3,73.5,0.1,100,4.17,rain,0,0,37.1,11.9,215.6,1012,30.3,5.1,309.6,26.7,10,,2015-03-21 6:26:06,2015-03-21 18:33:01,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,22/3/15,33.2,24.1,28.8,39.3,24.1,31.6,23,72.2,0,0,0,,0,0,36.7,9.4,217.5,1011.8,21.5,5.2,315.2,27.2,10,,2015-03-22 6:25:34,2015-03-22 18:32:57,0.06,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
