Place,Date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,icon,description,stations
Mumbai,05/2/15,34.1,23.1,27.4,31.8,23.1,27.2,15.2,50.4,0,0,0,,0,0,20.9,16.6,185.3,1014.1,22.8,2.7,238.8,20.6,8,,7:11:38 AM,6:33:51 PM,0.54,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,06/2/15,32.1,23.1,26.7,30.8,23.1,26.4,15,51.2,0,0,0,,0,0,22.7,16.9,261.9,1013.5,30.4,2.5,231.3,19.9,8,,7:11:16 AM,6:34:23 PM,0.58,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,07/2/15,29,23.1,25.2,28.9,23.1,25.5,18.4,67,0,0,0,,0,0,25.9,22.3,288.8,1013,17.9,2.9,238.8,20.7,9,,7:10:53 AM,6:34:54 PM,0.61,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,08/2/15,29,22.1,25,29.5,22.1,25,17.4,64.9,0,0,0,,0,0,30.6,22.3,323,1013.7,5.4,3.7,242.8,20.9,9,,7:10:28 AM,6:35:25 PM,0.64,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,09/2/15,32.1,22.1,25.7,31.1,22.1,25.5,13.6,48.8,0,0,0,,0,0,32.8,22.3,329.1,1013.1,1.3,3.2,246.7,21.3,9,,7:10:03 AM,6:35:55 PM,0.68,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,10/2/15,32.1,23.7,26.8,31.9,23.7,26.9,16.9,56.8,0,0,0,,0,0,23,18.4,315.8,1013,6.5,3.2,242.1,20.8,9,,7:09:36 AM,6:36:24 PM,0.71,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,11/2/15,31.1,22.1,26.3,31,22.1,26.4,17.6,60.5,0,0,0,,0,0,27,19.8,303.7,1013,0,2.9,245.3,21.2,9,,7:09:09 AM,6:36:53 PM,0.74,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,12/2/15,32.1,23.1,26.8,31.5,23.1,26.7,14.7,48.7,0,0,0,,0,0,32.4,20.5,312.9,1012.9,0,3.1,248.5,21.4,9,,7:08:40 AM,6:37:22 PM,0.75,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,13/2/15,32.1,22.1,26.2,30.8,22.1,26.1,16.2,56,0,0,0,,0,0,26.6,19.8,299,1012.4,0,2.9,249.6,21.7,9,,7:08:10 AM,6:37:50 PM,0.81,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,14/2/15,32.1,23.1,26.8,30.8,23.1,26.6,16.3,55.4,0,0,0,,0,0,21.6,16.6,290.6,1011.9,2.5,2.8,252.3,21.8,9,,7:07:40 AM,6:38:18 PM,0.84,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,15/2/15,31.1,22.1,26.1,31.9,22.1,26.3,17,58.9,0,0,0,,0,0,25.9,20.5,290.6,1011.9,0,3.4,255.8,21.9,9,,7:07:08 AM,6:38:45 PM,0.88,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,16/2/15,31.1,23.1,26.1,32.6,23.1,26.3,17.7,61.6,0,0,0,,0,0,34.6,25.9,323,1012.6,1.3,4,255.6,21.8,9,,7:06:36 AM,6:39:11 PM,0.91,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,17/2/15,33.1,23.1,26.4,33.1,23.1,26.6,19,66.4,0,0,0,,0,0,29.2,21.6,316.3,1012.5,0,3.3,258.7,22.2,9,,7:06:02 AM,6:39:37 PM,0.94,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,18/2/15,29,23.1,26.1,31.4,23.1,26.7,20.3,71.2,0,0,0,,0,0,27.4,22.3,309.6,1011.6,0.1,4,256.4,22.2,9,,7:05:28 AM,6:40:03 PM,0.98,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,19/2/15,31.1,22.9,26.4,32,22.9,26.8,19.7,68.8,0,0,0,,0,0,28.8,22.3,295.5,1011.2,0,3.4,256.5,22.1,9,,7:04:52 AM,6:40:28 PM,0,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,20/2/15,31.1,22.1,26.2,33.8,22.1,26.8,18.7,64.8,0,0,0,,0,0,31.3,22.7,316.3,1011.8,1.3,3.7,254.9,22.2,9,,7:04:16 AM,6:40:52 PM,0.04,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,21/2/15,38.1,24.1,28.8,35.6,24.1,28.8,16.8,53.2,0,0,0,,0,0,29.2,20.5,359.4,1011.2,0,3.3,259.3,22.4,9,,7:03:39 AM,6:41:16 PM,0.08,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,22/2/15,38.1,24.6,30.5,36.4,24.6,29.9,13.5,39,0,0,0,,0,0,26.6,22.3,118.4,1011.8,1.3,3.6,258.8,22.4,9,,7:03:01 AM,6:41:39 PM,0.11,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,23/2/15,35.1,25.1,28.4,36.2,25.1,29.3,19.4,60.1,0,0,0,,0,0,23.8,22.3,256.3,1012.3,0,2.8,261.2,22.8,9,,7:02:23 AM,6:42:02 PM,0.14,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,24/2/15,32.1,24.9,27.8,33.8,24.9,28.8,20.9,68.1,0,0,0,,0,0,28.4,18.4,270.5,1011,0,2.6,258.5,22.3,9,,7:01:43 AM,6:42:25 PM,0.18,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,25/2/15,31.1,25.1,27,32,25.1,27.4,19.8,66.5,0,0,0,,0,0,39.6,22.3,317.8,1010.6,0,3.3,257.4,22.2,9,,7:01:03 AM,6:42:47 PM,0.25,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,26/2/15,29,23.1,25.4,29.9,23.1,25.5,17.2,62.5,0,0,0,,0,0,34.6,22.3,322.4,1010.5,6.3,3.9,262.3,22.8,9,,7:00:22 AM,6:43:09 PM,0.25,Clear,☀️,Clear conditions throughout the day.,4.30E+10
Mumbai,27/2/15,27.1,22.1,24.6,28,22.1,24.7,16.5,62.7,0,0,0,,0,0,25.9,22.3,293.6,1010.5,6.3,4.3,266.5,22.9,9,,6:59:41 AM,6:43:30 PM,0.28,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,28/2/15,26.1,21.1,23.5,26.1,21.1,23.5,19.3,78,3,100,8.33,rain,0,0,44.6,24.8,167.5,1010.1,65.1,3.4,172.6,14.8,8,,6:58:58 AM,6:43:50 PM,0.31,"Rain, Partially cloudy",🌧️,Partly cloudy throughout the day with rain.,"43003099999,remote"
Mumbai,01/3/15,27.1,20.1,23.6,28.6,20.1,23.7,18.9,75.9,4,100,8.33,rain,0,0,47.2,30.6,175.1,1008.8,76,4.5,176.5,15.2,7,,6:58:16 AM,6:44:11 PM,0.35,"Rain, Partially cloudy",🌧️,Partly cloudy throughout the day with rain.,"43003099999,remote"
Mumbai,02/3/15,28.1,22.1,24.9,27.9,22.1,25,16.1,58.9,3,100,4.17,rain,0,0,34.6,24.1,276.3,1012.4,43,4.6,244.4,21.2,9,,6:57:32 AM,6:44:31 PM,0.38,"Rain, Partially cloudy",🌧️,Partly cloudy throughout the day with early morning rain.,"43003099999,remote"
Mumbai,03/3/15,27.1,20.1,23.6,27,20.1,23.6,13.3,53.6,0,0,0,,0,0,29.5,25.9,304.3,1014,21.5,3.9,247.8,21.4,9,,6:56:48 AM,6:44:50 PM,0.42,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,04/3/15,28.1,21.1,24.5,28.1,21.1,24.5,13.5,51.3,0,0,0,,0,0,38.2,24.1,338.4,1013,2.9,3.5,274.8,23.8,9,,6:56:03 AM,6:45:09 PM,0.45,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,05/3/15,31.1,21.1,25.5,30.7,21.1,25.4,13.9,49.3,0,0,0,,0,0,29.5,20.5,324.2,1012.7,0,3.5,277,24,9,,6:55:18 AM,6:45:28 PM,0.5,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,06/3/15,34.1,22.1,27.8,33,22.1,27.5,15,47.4,0,0,0,,0,0,30.6,20.5,333.5,1013.3,0,2.6,277.9,24,9,,6:54:32 AM,6:45:46 PM,0.52,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,07/3/15,34.1,24.1,28.6,33.7,24.1,28.3,13.9,42.7,0,0,0,,0,0,32,22.3,304.4,1012.8,2,3.6,278.7,24.1,9,,6:53:46 AM,6:46:04 PM,0.55,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,08/3/15,32.1,25.1,27.7,33,25.1,28.2,17.7,55.9,0,0,0,,0,0,33.5,24.5,306.9,1013,0,3.5,276.8,24,9,,6:53:00 AM,6:46:22 PM,0.59,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,09/3/15,34.1,24.1,27.8,34.2,24.1,27.8,17,53.9,0,0,0,,0,0,33.1,20.5,329.5,1013.8,0,3.9,276.4,23.8,9,,6:52:13 AM,6:46:40 PM,0.62,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,10/3/15,34.1,25.1,28.5,34.2,25.1,28.7,16.7,49.6,0,0,0,,0,0,25.9,22.3,256.8,1013.4,6.3,3,272.9,23.6,9,,6:51:25 AM,6:46:57 PM,0.65,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,11/3/15,35.1,25.7,29.1,36.2,25.7,30.3,19.8,58.4,0,0,0,,0,0,23.8,22.3,287.7,1013,10.9,3.1,271.8,23.5,9,,6:50:37 AM,6:47:14 PM,0.69,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,12/3/15,37,25.7,30.4,38.2,25.7,31.4,18.7,51.6,0,0,0,,0,0,29.9,20.9,2,1013,19.7,3.7,273.5,23.7,9,,6:49:49 AM,6:47:30 PM,0.72,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,13/3/15,36.1,26.6,30.4,35.9,26.6,30.8,17,46.4,0,0,0,,0,0,32.8,16.6,349.4,1011.6,20,3.8,273.1,23.5,9,,6:49:00 AM,6:47:46 PM,0.75,Clear,☀️,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,14/3/15,32.1,26.1,28.6,33.8,26.1,30.3,20.7,63.4,2,100,4.17,rain,0,0,28.1,22.3,241.4,1012,40.1,3.7,264.3,22.8,9,,6:48:11 AM,6:48:02 PM,0.79,"Rain, Partially cloudy",🌧️,Clearing in the afternoon with early morning rain.,"43003099999,remote"
Mumbai,15/3/15,29,25.1,26.9,31.4,25.1,27.8,21.2,71.4,0,0,0,,0,0,27.4,22.3,288.9,1013.6,25,4.1,272.4,23.5,9,,6:47:22 AM,6:48:18 PM,0.82,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,16/3/15,31.1,24.3,27,31,24.3,27.2,19.1,63.7,0,0,0,,0,0,32.4,18.4,325.6,1015,35.4,4.3,280.9,24.2,10,,6:46:33 AM,6:48:34 PM,0.86,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,17/3/15,33.1,23.1,26.9,34.1,23.1,26.9,15.8,52,0,0,0,,0,0,41.8,22.3,346.9,1013.9,12.5,4.1,291.8,25.3,10,,6:45:43 AM,6:48:49 PM,0.89,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,18/3/15,36.1,24.1,29.2,34.6,24.1,29.1,15.1,43.8,0,0,0,,0,0,36,20.5,313.6,1010.5,23.3,3.8,290.6,25.1,10,,6:44:53 AM,6:49:04 PM,0.93,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,19/3/15,37,25.1,30.4,36.2,25.1,30.3,15.9,43.7,0,0,0,,0,0,31.3,22.3,308.1,1010.3,2.5,3.8,290.7,25.1,10,,6:44:03 AM,6:49:20 PM,0.96,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,20/3/15,35.1,26.1,30.2,35.8,26.1,30.6,17.1,48.1,0,0,0,,0,0,26.6,22.3,291.3,1011.2,12.5,3.4,282.6,24.5,9,,6:43:13 AM,6:49:34 PM,0,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,21/3/15,35.1,26.5,30.6,37.8,26.5,32.4,19.8,54.1,0,0,0,,0,0,24.1,20.5,264.6,1012,13.9,2.5,281.9,24.4,9,,6:42:23 AM,6:49:49 PM,0.03,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,22/3/15,35.1,26.5,30.5,39.4,26.5,33.6,21.9,63.6,0,0,0,,0,0,27.7,18.4,276.3,1011.8,24.9,3.1,279.4,24.1,9,,6:41:33 AM,6:50:04 PM,0.06,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,23/3/15,34.1,26.3,29.7,39.5,26.3,33.7,23.6,71.7,0,0,0,,0,0,25.2,20.5,282.8,1010.5,24.1,3.4,278.1,24,9,,6:40:42 AM,6:50:18 PM,0.1,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,24/3/15,34.1,27.7,30.3,38.2,28.9,32.8,20.8,57.1,0,0,0,,0,0,33.1,20.5,304.1,1009.5,10,3.7,289.5,25,10,,6:39:52 AM,6:50:33 PM,0.13,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,25/3/15,41.1,28.1,32.7,42.7,28.9,34.8,19.2,48,0,0,0,,0,0,29.5,18.4,301.2,1008.8,15,3.7,290.5,25.1,10,,6:39:01 AM,6:50:47 PM,0.16,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,26/3/15,33.1,27.8,30.1,40.8,32.3,37,25.7,77.7,0,0,0,,0,0,28.8,20.5,213,1011.3,42.9,2.9,267.8,23,9,,6:38:10 AM,6:51:02 PM,0.19,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,27/3/15,32.1,26.9,29.6,42.5,30.2,37.2,26.5,83.9,0,0,0,,0,0,25.2,22.3,255.6,1012.1,42.1,3.2,275.7,23.7,9,,6:37:20 AM,6:51:16 PM,0.25,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,28/3/15,33.1,28.1,30,42.3,32.8,36.6,25.6,78.1,0,0,0,,0,0,28.4,24.1,265.8,1010.8,55.8,3.1,274,23.6,9,,6:36:29 AM,6:51:30 PM,0.26,Partially cloudy,⛅,Partly cloudy throughout the day.,4.30E+10
Mumbai,29/3/15,33.1,28.1,30,44,30.8,35.7,24.4,71.9,0,0,0,,0,0,38.2,23,283.7,1009.3,58.9,3.7,254.8,22,9,,6:35:39 AM,6:51:44 PM,0.29,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,30/3/15,35.1,29,31.7,40.8,29.5,34.8,21,53.8,0,0,0,,0,0,31,22.3,317.8,1008.9,31.7,4.2,287.9,24.9,10,,6:34:49 AM,6:51:59 PM,0.33,Partially cloudy,⛅,Partly cloudy throughout the day.,4.30E+10
Mumbai,31/3/15,35.1,27.1,30.5,42,26.7,31.5,14.2,44.9,0,0,0,,0,0,31.3,22.7,329.9,1010.5,11.3,4.4,305.5,26.2,10,,6:33:58 AM,6:52:13 PM,0.36,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,01/4/15,33.1,25.1,29,38.2,25.1,30,15.5,46.6,0,0,0,,0,0,30.2,24.1,306.4,1010,3.8,4.2,305.3,26.3,10,,6:33:08 AM,6:52:27 PM,0.39,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,02/4/15,33.1,25.6,29.2,34.7,25.6,30.2,19,55.4,0,0,0,,0,0,31.3,20.5,296.3,1009.5,6.3,3.7,303.3,26.3,10,,6:32:19 AM,6:52:42 PM,0.43,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,03/4/15,32.1,26.1,28.4,34.3,26.1,30.6,21.4,66.5,0,0,0,,0,0,25.9,24.1,280.2,1009.3,11.3,4.1,299.7,25.9,10,,6:31:29 AM,6:52:56 PM,0.46,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,04/4/15,31.1,25.1,27.7,34.7,25.1,29.5,21.8,70.8,0,0,0,,0,0,27.4,22.3,289.1,1007.8,0.8,4.4,302.1,26.2,10,,6:30:39 AM,6:53:10 PM,0.5,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,05/4/15,31.1,26.1,28.7,39.3,26.1,32.2,23.1,72.4,0,0,0,,0,0,29.5,24.1,291.6,1007.9,31.7,2.8,286.8,24.7,10,,6:29:50 AM,6:53:25 PM,0.53,Partially cloudy,⛅,Partly cloudy throughout the day.,4.30E+10
Mumbai,06/4/15,32.1,25.8,28,35,25.8,30.1,22,70.9,0,0,0,,0,0,29.2,22.3,310.2,1007.6,20.8,2.8,299.9,25.9,10,,6:29:01 AM,6:53:40 PM,0.56,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
